Fuel Type Code,Station Name,City,State,ZIP,Status Code,Latitude,Longitude,Country,Georeference
ELEC,LIN-DAN RICK,New York,NY,10010,E,40.736148,-73.980154,US,POINT (-73.980154 40.736148)
ELEC,4 W 93rd St,New York,NY,10025,E,40.789958,-73.966488,US,POINT (-73.966488 40.789958)
ELEC,First Avenue Parking,New York,NY,10016,E,40.745096,-73.971921,US,POINT (-73.971921 40.745096)
ELEC,GMC 111 E 82nd St - Tesla Destination,New York,NY,10065,E,40.77735,-73.958352,US,POINT (-73.958352 40.77735)
ELEC,Beltmont Parking,New York,NY,10028,E,40.773472,-73.955287,US,POINT (-73.955287 40.773472)
ELEC,Parkit 221 Thompson Street - Tesla Destination,New York,NY,10012,E,40.729234,-73.999013,US,POINT (-73.999013 40.729234)
ELEC,1 WATERLINE STATION#1,New York,NY,10069,E,40.772896,-73.992536,US,POINT (-73.992536 40.772896)
ELEC,92746 CHARGEPOINT 2,New York,NY,10065,E,40.764945,-73.960624,US,POINT (-73.960624 40.764945)
ELEC,iPark NYC 1025 83rd - Tesla Destination,New York,NY,10028,E,40.779211,-73.960949,US,POINT (-73.960949 40.779211)
ELEC,Icon Parking 14-26 William Street - Tesla Destination,New York,NY,10004,E,40.704514,-74.01074,US,POINT (-74.01074 40.704514)
ELEC,449 East 49th Street,New York,NY,10022,E,40.75267,-73.96482,US,POINT (-73.96482 40.75267)
ELEC,Residence Inn New York Manhattan - Tesla Destination,New York,NY,10019,E,40.764261,-73.982974,US,POINT (-73.982974 40.764261)
ELEC,Icon 376 Greenwich Street - Tesla Destination,New York,NY,10013,E,40.719825,-74.010137,US,POINT (-74.010137 40.719825)
ELEC,imPark 422 E 79th Street - Tesla Destination,New York,NY,10075,E,40.771879,-73.951627,US,POINT (-73.951627 40.771879)
ELEC,AAA NORTHEAST STATION2A,New York,NY,10034,E,40.870879,-73.912589,US,POINT (-73.912589 40.870879)
ELEC,Park-it Area Garage - Tesla Destination,New York,NY,10002,E,40.715645,-73.98081,US,POINT (-73.9808096971768 40.7156449097173)
ELEC,iPark 200 West Garage Corp. - Tesla Destination,New York,NY,10001,E,40.746304,-73.995064,US,POINT (-73.995064 40.746304)
ELEC,MPG 10 E 102nd Street - Tesla Destination,New York,NY,10029,E,40.79136,-73.952155,US,POINT (-73.952155 40.79136)
ELEC,GGMC Parking Carnegie Garage - Tesla Destination,New York,NY,10128,E,40.78567,-73.954593,US,POINT (-73.954593 40.78567)
ELEC,iPark 200 E 70th Street - Tesla Destination,New York,NY,10021,E,40.768283,-73.961149,US,POINT (-73.961149 40.768283)
ELEC,iPark NYC 425 E 58th Street - Tesla Destination,New York,NY,10022,E,40.758519,-73.961272,US,POINT (-73.961272 40.758519)
ELEC,MPG 530 West 30th - Tesla Destination,New York,NY,10001,E,40.75277,-74.00265,US,POINT (-74.00265 40.75277)
ELEC,4 W 21st St.,New York,NY,10010,E,40.74057,-73.99147,US,POINT (-73.99147 40.74057)
ELEC,1 WATERLINE STATION#2,New York,NY,10069,E,40.772952,-73.992622,US,POINT (-73.992622 40.772952)
ELEC,Rapidpark 10 E 30th Street - Tesla Destination,New York,NY,10016,E,40.74556,-73.985539,US,POINT (-73.985539 40.74556)
ELEC,Quik Park 86th St. LLC - Tesla Destination,New York,NY,10028,E,40.775968,-73.947846,US,POINT (-73.947846 40.775968)
ELEC,Central Parking - Tower 31,New York,NY,10001,E,40.74709,-73.98667,US,POINT (-73.98667 40.74709)
ELEC,301 E. 79th St.,New York,NY,10075,E,40.76939,-73.96546,US,POINT (-73.96546 40.76939)
ELEC,NYC FLEET DPR_ICAHN_2_L3,New York,NY,10035,E,40.79237,-73.924644,US,POINT (-73.924644 40.79237)
ELEC,Central Parking - 58 West 58th St,New York,NY,10019,E,40.764655,-73.9761,US,POINT (-73.9761 40.764655)
ELEC,Champion Parking 90 LLC - Tesla Destination,New York,NY,10028,E,40.783085,-73.956304,US,POINT (-73.956304 40.783085)
ELEC,ABM Parking 475 Park Ave South LLC - Tesla Destination,New York,NY,10016,E,40.745603,-73.98185,US,POINT (-73.98185 40.745603)
ELEC,GGMC Parking Alfred - Tesla Destination,New York,NY,10023,E,40.771555,-73.986428,US,POINT (-73.986428 40.771555)
ELEC,ABM Parking 13 East 54th Street LLC - Tesla Destination,New York,NY,10022,E,40.760648,-73.974193,US,POINT (-73.974193 40.760648)
ELEC,Quikpark 173 W 12th Street - Tesla Destination,New York,NY,10011,E,40.737108,-74.000358,US,POINT (-74.000358 40.737108)
ELEC,AAA NORTHEAST STATION4A,New York,NY,10034,E,40.870909,-73.91266,US,POINT (-73.91266 40.870909)
ELEC,iPark 314 W 120th Street - Tesla Destination,New York,NY,10025,E,40.807356,-73.954354,US,POINT (-73.954354 40.807356)
ELEC,Rapidpark 254 W 79th Street - Tesla Destination,New York,NY,10024,E,40.78411,-73.980641,US,POINT (-73.980641 40.78411)
ELEC,ABELENORTHSIDE STATION 3,New York,NY,12065,E,42.864619,-73.770335,US,POINT (-73.770335 42.864619)
